function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00001,entry,program_entry,7100000000,entry,recovered_body,0,,,,4787617,4787625,161372966,161373145,161372964,161373145,src/functions/entry/batch_00/7100000000/1980_functions.inc,0,void entry(void)
function_00002,FUN_7100000170,unidentified_function_7100000170,7100000170,internal,recovered_body,0,,,,4787629,4787643,161373151,161373441,161373145,161373441,src/functions/internal/batch_00/7100000000/1981_functions.inc,0,void FUN_7100000170(void)
function_00003,FUN_71000001d0,unidentified_function_71000001d0,71000001d0,internal,recovered_body,0,,,,4787647,4787677,161373447,161374310,161373441,161374310,src/functions/internal/batch_00/7100000000/1981_functions.inc,296,"undefined8 FUN_71000001d0(undefined8 param_1,undefined8 param_2,long param_3)"
function_00004,FUN_7100000260,unidentified_function_7100000260,7100000260,internal,recovered_body,0,,,,4787681,4787705,161374316,161374936,161374310,161374936,src/functions/internal/batch_00/7100000000/1981_functions.inc,1165,"void FUN_7100000260(long param_1,ulong param_2,ulong param_3)"
function_00005,FUN_7100000350,unidentified_function_7100000350,7100000350,internal,recovered_body,0,,,,4787709,4787733,161374942,161375530,161374936,161375530,src/functions/internal/batch_00/7100000000/1981_functions.inc,1791,"void FUN_7100000350(long *param_1,undefined8 *param_2,undefined8 *param_3)"
function_00006,FUN_71000003c0,unidentified_function_71000003c0,71000003c0,internal,recovered_body,0,,,,4787737,4787744,161375536,161375696,161375530,161375696,src/functions/internal/batch_00/7100000000/1981_functions.inc,2385,"void FUN_71000003c0(undefined8 *param_1,undefined8 *param_2,undefined8 *param_3)"
function_00007,FUN_71000003d8,unidentified_function_71000003d8,71000003d8,internal,recovered_body,0,,,,4787748,4787756,161375702,161375981,161375696,161375981,src/functions/internal/batch_00/7100000000/1981_functions.inc,2551,bool FUN_71000003d8(long param_1)
function_00008,FUN_7100000440,unidentified_function_7100000440,7100000440,internal,recovered_body,0,,,,4787760,4787841,161375987,161379226,161375981,161379226,src/functions/internal/batch_00/7100000000/1981_functions.inc,2836,"undefined8 FUN_7100000440(auto_FUN_7100000440_param_1 *param_1,undefined4 param_2,undefined8 param_3, undefined8 param_4,long param_5)"
function_00009,FUN_7100000764,unidentified_function_7100000764,7100000764,internal,recovered_body,0,,,,4787845,4787864,161379232,161380142,161379226,161380142,src/functions/internal/batch_00/7100000000/1981_functions.inc,6081,"void FUN_7100000764(undefined8 *param_1,undefined4 param_2,undefined8 param_3,undefined8 param_4, long param_5,auto_FUN_7100000764_param_6 *param_6)"
function_00010,FUN_710000086c,unidentified_function_710000086c,710000086c,internal,recovered_body,0,,,,4787868,4787874,161380148,161380272,161380142,161380272,src/functions/internal/batch_00/7100000000/1981_functions.inc,6997,void FUN_710000086c(undefined8 *param_1)
function_00011,FUN_71000008d0,unidentified_function_71000008d0,71000008d0,internal,recovered_body,0,,,,4787878,4787895,161380278,161380922,161380272,161380922,src/functions/internal/batch_00/7100000000/1981_functions.inc,7127,"void FUN_71000008d0(long param_1,undefined8 param_2)"
function_00012,FUN_71000009b4,unidentified_function_71000009b4,71000009b4,internal,recovered_body,0,,,,4787899,4787906,161380928,161381197,161380922,161381197,src/functions/internal/batch_00/7100000000/1981_functions.inc,7777,void FUN_71000009b4(undefined8 *param_1)
function_00013,FUN_71000009c4,unidentified_function_71000009c4,71000009c4,internal,recovered_body,0,,,,4787910,4787962,161381203,161382883,161381197,161382883,src/functions/internal/batch_00/7100000000/1981_functions.inc,8052,"void FUN_71000009c4(long param_1,int param_2,ulong param_3)"
function_00014,FUN_7100000b84,unidentified_function_7100000b84,7100000b84,internal,recovered_body,0,,,,4787966,4788001,161382889,161384297,161382883,161384297,src/functions/internal/batch_00/7100000000/1981_functions.inc,9738,"undefined8 FUN_7100000b84(long param_1,undefined8 param_2,int param_3,int param_4,int param_5, undefined8 param_6)"
function_00015,FUN_7100000d1c,unidentified_function_7100000d1c,7100000d1c,internal,recovered_body,0,,,,4788005,4788210,161384303,161392787,161384297,161392787,src/functions/internal/batch_00/7100000000/1981_functions.inc,11152,"void FUN_7100000d1c(auto_FUN_7100000d1c_param_1 *param_1,auto_FUN_7100000d1c_param_2 *param_2, undefined8 param_3)"
function_00016,FUN_710000119c,unidentified_function_710000119c,710000119c,internal,recovered_body,0,,,,4788214,4788222,161392793,161393064,161392787,161393064,src/functions/internal/batch_00/7100000000/1981_functions.inc,19642,long FUN_710000119c(long param_1)
function_00017,FUN_7100001200,unidentified_function_7100001200,7100001200,internal,recovered_body,0,,,,4788226,4788247,161393070,161393611,161393064,161393611,src/functions/internal/batch_00/7100000000/1981_functions.inc,19919,ulong FUN_7100001200(undefined8 *param_1)
function_00018,FUN_71000012b4,unidentified_function_71000012b4,71000012b4,internal,recovered_body,0,,,,4788251,4790474,161393617,161487504,161393611,161487504,src/functions/internal/batch_00/7100000000/1981_functions.inc,20466,"void FUN_71000012b4(auto_FUN_71000012b4_param_1 *param_1,undefined4 param_2,undefined8 param_3, int param_4,uint param_5)"
function_00019,FUN_710000b240,unidentified_function_710000b240,710000b240,internal,recovered_body,0,,,,4790478,4790568,161487510,161490762,161487504,161490762,src/functions/internal/batch_00/7100000000/1981_functions.inc,114359,"void FUN_710000b240(auto_FUN_710000b240_param_1 *param_1,undefined4 param_2,undefined8 param_3, int param_4)"
function_00020,FUN_710000b5e8,unidentified_function_710000b5e8,710000b5e8,internal,recovered_body,0,,,,4790572,4790602,161490768,161491764,161490762,161491764,src/functions/internal/batch_00/7100000000/1981_functions.inc,117617,"void FUN_710000b5e8(auto_FUN_710000b5e8_param_1 *param_1,undefined8 param_2)"
function_00021,FUN_710000b71c,unidentified_function_710000b71c,710000b71c,internal,recovered_body,0,,,,4790606,4790624,161491770,161492479,161491764,161492479,src/functions/internal/batch_00/7100000000/1981_functions.inc,118619,"void FUN_710000b71c(auto_FUN_710000b71c_param_1 *param_1,undefined8 param_2)"
function_00022,FUN_710000b7e8,unidentified_function_710000b7e8,710000b7e8,internal,recovered_body,0,,,,4790628,4790644,161492485,161493126,161492479,161493126,src/functions/internal/batch_00/7100000000/1981_functions.inc,119334,"void FUN_710000b7e8(auto_FUN_710000b7e8_param_1 *param_1,undefined8 param_2)"
function_00023,FUN_710000b8b8,unidentified_function_710000b8b8,710000b8b8,internal,recovered_body,0,,,,4790648,4790735,161493132,161499793,161493126,161499793,src/functions/internal/batch_00/7100000000/1981_functions.inc,119981,"void FUN_710000b8b8(auto_FUN_710000b8b8_param_1 *param_1,undefined8 param_2, auto_FUN_710000b8b8_param_3 *param_3)"
function_00024,FUN_710000bb48,unidentified_function_710000bb48,710000bb48,internal,recovered_body,0,,,,4790739,4790762,161499799,161500642,161499793,161500642,src/functions/internal/batch_00/7100000000/1981_functions.inc,126648,"void FUN_710000bb48(auto_FUN_710000bb48_param_1 *param_1,undefined8 param_2,int param_3, undefined8 param_4)"
function_00025,FUN_710000bc38,unidentified_function_710000bc38,710000bc38,internal,recovered_body,0,,,,4790766,4790771,161500648,161500767,161500642,161500767,src/functions/internal/batch_00/7100000000/1981_functions.inc,127497,"void FUN_710000bc38(long param_1,undefined8 param_2)"
function_00026,FUN_710000bc40,unidentified_function_710000bc40,710000bc40,internal,recovered_body,0,,,,4790775,4790788,161500773,161501307,161500767,161501307,src/functions/internal/batch_00/7100000000/1981_functions.inc,127622,"void FUN_710000bc40(auto_FUN_710000bc40_param_1 *param_1,undefined8 param_2)"
