type_id,record_id,raw_name,canonical_name,symbol_kind,record_kind,category,owner_function,address,source_line_start,source_line_end,source_byte_start,source_byte_end,output_file,output_payload_offset,raw_typedef
type_00001,type_record_0001,undefined,unknown_byte,typedef_alias,primitive,primitives,,,1,1,0,36,src/types/primitives/0000_types.inc,0,typedef unsigned char   undefined;
type_00002,type_record_0002,bool,boolean_byte,typedef_alias,primitive,primitives,,,3,3,38,70,src/types/primitives/0000_types.inc,36,typedef unsigned char    bool;
type_00003,type_record_0003,byte,unsigned_byte,typedef_alias,primitive,primitives,,,4,4,70,102,src/types/primitives/0000_types.inc,70,typedef unsigned char    byte;
type_00004,type_record_0004,dword,unsigned_double_word,typedef_alias,primitive,primitives,,,5,5,102,134,src/types/primitives/0000_types.inc,102,typedef unsigned int    dword;
type_00005,type_record_0005,qword,unsigned_quad_word,typedef_alias,primitive,primitives,,,6,6,134,167,src/types/primitives/0000_types.inc,134,typedef unsigned long    qword;
type_00006,type_record_0006,uint,unsigned_integer,typedef_alias,primitive,primitives,,,7,7,167,198,src/types/primitives/0000_types.inc,167,typedef unsigned int    uint;
type_00007,type_record_0007,ulong,unsigned_long_integer,typedef_alias,primitive,primitives,,,8,8,198,231,src/types/primitives/0000_types.inc,198,typedef unsigned long    ulong;
type_00008,type_record_0008,undefined1,unknown_1_byte,typedef_alias,primitive,primitives,,,9,9,231,269,src/types/primitives/0000_types.inc,231,typedef unsigned char    undefined1;
type_00009,type_record_0009,undefined2,unknown_2_bytes,typedef_alias,primitive,primitives,,,10,10,269,308,src/types/primitives/0000_types.inc,269,typedef unsigned short    undefined2;
type_00010,type_record_0010,undefined3,unknown_3_bytes,typedef_alias,primitive,primitives,,,11,11,308,345,src/types/primitives/0000_types.inc,308,typedef unsigned int    undefined3;
type_00011,type_record_0011,undefined4,unknown_4_bytes,typedef_alias,primitive,primitives,,,12,12,345,382,src/types/primitives/0000_types.inc,345,typedef unsigned int    undefined4;
type_00012,type_record_0012,undefined5,unknown_5_bytes,typedef_alias,primitive,primitives,,,13,13,382,420,src/types/primitives/0000_types.inc,382,typedef unsigned long    undefined5;
type_00013,type_record_0013,undefined6,unknown_6_bytes,typedef_alias,primitive,primitives,,,14,14,420,458,src/types/primitives/0000_types.inc,420,typedef unsigned long    undefined6;
type_00014,type_record_0014,undefined7,unknown_7_bytes,typedef_alias,primitive,primitives,,,15,15,458,496,src/types/primitives/0000_types.inc,458,typedef unsigned long    undefined7;
type_00015,type_record_0015,undefined8,unknown_8_bytes,typedef_alias,primitive,primitives,,,16,16,496,534,src/types/primitives/0000_types.inc,496,typedef unsigned long    undefined8;
type_00016,type_record_0016,ushort,unsigned_short_integer,typedef_alias,primitive,primitives,,,17,17,534,569,src/types/primitives/0000_types.inc,534,typedef unsigned short    ushort;
type_00017,type_record_0017,wchar16,wide_character_16,typedef_alias,primitive,primitives,,,18,18,569,605,src/types/primitives/0000_types.inc,569,typedef unsigned short    wchar16;
type_00018,type_record_0018,word,unsigned_word,typedef_alias,primitive,primitives,,,19,19,605,638,src/types/primitives/0000_types.inc,605,typedef unsigned short    word;
type_00019,type_record_0019,wchar32,wide_character_32,typedef_alias,primitive,primitives,,,20,20,638,672,src/types/primitives/0000_types.inc,638,typedef unsigned int    wchar32;
type_00020,type_record_0020,auto_FUN_7100024b20_pcVar1,inferred_function_type_7100024b20_pcvar1,struct_tag,struct,generated_functions,FUN_7100024b20,7100024b20,21,26,672,866,src/types/generated/functions/7100000000/0001_types.inc,0,"typedef struct auto_FUN_7100024b20_pcVar1 auto_FUN_7100024b20_pcVar1, *Pauto_FUN_7100024b20_pcVar1;"
type_00021,type_record_0020,auto_FUN_7100024b20_pcVar1,inferred_function_type_7100024b20_pcvar1,typedef_alias,struct,generated_functions,FUN_7100024b20,7100024b20,21,26,672,866,src/types/generated/functions/7100000000/0001_types.inc,0,"typedef struct auto_FUN_7100024b20_pcVar1 auto_FUN_7100024b20_pcVar1, *Pauto_FUN_7100024b20_pcVar1;"
