field_id,path,offset,offset_hex,length,storage_type,raw_hex,decoded_value,meaning
field_000,header.version,0,0x000,1,u8,02,2,ShareMii schema version
field_001,header.has_canvas,1,0x001,1,bool/u8,00,false,embedded canvas payload follows marker
field_002,header.has_ugc_texture,2,0x002,1,bool/u8,00,false,embedded UGC texture follows marker
field_003,header.reserved,3,0x003,1,u8,00,0,reserved v2 header byte
field_004,header.legacy_padding,4,0x004,1,u8,00,0,legacy v2 compatibility padding
field_005,header.char_info_length,5,0x005,4,u32le,98000000,152,CharInfoEx payload byte length
field_006,char_info.uuid,9,0x009,16,uuid[16],f0bc12c0e4252d2d878306ddf63d9341,f0bc12c0-e425-2d2d-8783-06ddf63d9341,Mii creation identifier
field_007,char_info.name,25,0x019,22,utf16le[11],6e006f0020006e0061006d0065000000000000000000,no name,internal CharInfoEx name
field_008,char_info.font_region,47,0x02f,1,u8,00,0,named CharInfoEx appearance field
field_009,char_info.gender,48,0x030,1,u8,00,0,named CharInfoEx appearance field
field_010,char_info.height,49,0x031,1,u8,6b,107,named CharInfoEx appearance field
field_011,char_info.build,50,0x032,1,u8,69,105,named CharInfoEx appearance field
field_012,char_info.region_move,51,0x033,1,u8,00,0,named CharInfoEx appearance field
field_013,char_info.face_flags_raw,52,0x034,1,u8,00,0,named CharInfoEx appearance field
field_014,char_info.faceline_type,53,0x035,1,u8,00,0,named CharInfoEx appearance field
field_015,char_info.faceline_color,54,0x036,1,u8,64,100,named CharInfoEx appearance field
field_016,char_info.wrinkle_lower_type,55,0x037,1,u8,00,0,named CharInfoEx appearance field
field_017,char_info.wrinkle_lower_scale,56,0x038,1,u8,05,5,named CharInfoEx appearance field
field_018,char_info.wrinkle_lower_aspect,57,0x039,1,u8,03,3,named CharInfoEx appearance field
field_019,char_info.wrinkle_lower_x,58,0x03a,1,u8,01,1,named CharInfoEx appearance field
field_020,char_info.wrinkle_lower_y,59,0x03b,1,u8,0f,15,named CharInfoEx appearance field
field_021,char_info.wrinkle_upper_type,60,0x03c,1,u8,00,0,named CharInfoEx appearance field
field_022,char_info.wrinkle_upper_scale,61,0x03d,1,u8,06,6,named CharInfoEx appearance field
field_023,char_info.wrinkle_upper_aspect,62,0x03e,1,u8,03,3,named CharInfoEx appearance field
field_024,char_info.wrinkle_upper_x,63,0x03f,1,u8,07,7,named CharInfoEx appearance field
field_025,char_info.wrinkle_upper_y,64,0x040,1,u8,17,23,named CharInfoEx appearance field
field_026,char_info.makeup_upper_type,65,0x041,1,u8,00,0,named CharInfoEx appearance field
field_027,char_info.makeup_upper_color,66,0x042,1,u8,59,89,named CharInfoEx appearance field
field_028,char_info.makeup_upper_scale,67,0x043,1,u8,06,6,named CharInfoEx appearance field
field_029,char_info.makeup_upper_aspect,68,0x044,1,u8,03,3,named CharInfoEx appearance field
field_030,char_info.makeup_upper_x,69,0x045,1,u8,01,1,named CharInfoEx appearance field
field_031,char_info.makeup_upper_y,70,0x046,1,u8,0c,12,named CharInfoEx appearance field
field_032,char_info.makeup_lower_type,71,0x047,1,u8,00,0,named CharInfoEx appearance field
field_033,char_info.makeup_lower_color,72,0x048,1,u8,19,25,named CharInfoEx appearance field
field_034,char_info.makeup_lower_scale,73,0x049,1,u8,05,5,named CharInfoEx appearance field
field_035,char_info.makeup_lower_aspect,74,0x04a,1,u8,03,3,named CharInfoEx appearance field
field_036,char_info.makeup_lower_x,75,0x04b,1,u8,06,6,named CharInfoEx appearance field
field_037,char_info.makeup_lower_y,76,0x04c,1,u8,13,19,named CharInfoEx appearance field
