item_index,file_id,label,name,color_slot,color_id,color_label,color_name,rgb_hex,physical_archives,status
0,0,bd_default,regular clothes,0,70,rosybrown,RosyBrown,BC8F8F,body_body000|body_body000F|body_body000Ot|body_body000OtF|body_body000Sp|body_body000SpF,rendered
1,1,bd_suits,suit,0,88,dark_gray,Dark gray,4D4D4D,body_body001,rendered
1,1,bd_suits,suit,1,81,deep_brown_red,Deep brown red,3E1300,body_body001,rendered
1,1,bd_suits,suit,2,67,darkolivegreen,DarkOliveGreen,556B2F,body_body001,rendered
1,1,bd_suits,suit,3,51,cadetblue,CadetBlue,5F9EA0,body_body001,rendered
1,1,bd_suits,suit,4,84,white,White,FFFFFF,body_body001,rendered
1,1,bd_suits,suit,5,15,indianred,IndianRed,CD5C5C,body_body001,rendered
1,1,bd_suits,suit,6,47,darkblue_2,DarkBlue_2,1E1E4C,body_body001,rendered
1,1,bd_suits,suit,7,91,black,Black,000000,body_body001,rendered
2,2,bd_sailor,schoolgirl uniform,0,48,deep_blue,Deep blue,000054,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,1,10,tomato,Tomato,FF6347,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,2,33,mediumslateblue,MediumSlateBlue,7B68EE,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,3,42,luminous_vivid_azure,Luminous vivid azure,0066FF,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,4,55,darkcyan,DarkCyan,008B8B,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,5,69,very_deep_green,Very deep green,003300,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,6,75,moderate_amber,Moderate amber,886308,body_body002,rendered
2,2,bd_sailor,schoolgirl uniform,7,90,very_dark_gray_2,Very dark gray 2,232323,body_body002,rendered
3,3,bd_cowboy,cowboy duds,0,18,moderate_red,Moderate red,CB0F0F,body_body003,rendered
3,3,bd_cowboy,cowboy duds,1,37,darkmagenta,DarkMagenta,8B008B,body_body003,rendered
3,3,bd_cowboy,cowboy duds,2,51,cadetblue,CadetBlue,5F9EA0,body_body003,rendered
3,3,bd_cowboy,cowboy duds,3,65,olivedrab,OliveDrab,6B8E23,body_body003,rendered
3,3,bd_cowboy,cowboy duds,4,70,rosybrown,RosyBrown,BC8F8F,body_body003,rendered
3,3,bd_cowboy,cowboy duds,5,75,moderate_amber,Moderate amber,886308,body_body003,rendered
3,3,bd_cowboy,cowboy duds,6,84,white,White,FFFFFF,body_body003,rendered
3,3,bd_cowboy,cowboy duds,7,91,black,Black,000000,body_body003,rendered
4,4,bd_greece,toga,0,2,lemonchiffon,LemonChiffon,FFFACD,body_body004,rendered
4,4,bd_greece,toga,1,70,rosybrown,RosyBrown,BC8F8F,body_body004,rendered
4,4,bd_greece,toga,2,6,gold,Gold,FFD700,body_body004,rendered
4,4,bd_greece,toga,3,15,indianred,IndianRed,CD5C5C,body_body004,rendered
4,4,bd_greece,toga,4,31,plum,Plum,DDA0DD,body_body004,rendered
4,4,bd_greece,toga,5,48,deep_blue,Deep blue,000054,body_body004,rendered
4,4,bd_greece,toga,6,67,darkolivegreen,DarkOliveGreen,556B2F,body_body004,rendered
4,4,bd_greece,toga,7,91,black,Black,000000,body_body004,rendered
5,5,bd_soccer,soccer uniform,0,36,indigo,Indigo,4B0082,body_body005,rendered
5,5,bd_soccer,soccer uniform,1,68,darkgreen,DarkGreen,006400,body_body005,rendered
