archive,head_type,wrapper_animation,metadata_variant,hair,offset_json,selected_for_render,authored_variant_present
headwear_headwear000,8,forHeadgear,-1,,,True,False
headwear_headwear001,3,default,-1,,,True,False
headwear_headwear002,6,forCap,-1,,,True,False
headwear_headwear003,6,forCap,-1,,,True,False
headwear_headwear004,1,default,-1,,,True,False
headwear_headwear005,3,default,-1,,,True,False
headwear_headwear006,1,default,0,59,"[-25.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,True
headwear_headwear007,2,default,-1,,,True,False
headwear_headwear008,5,default,-1,,,True,False
headwear_headwear009,6,forCap,-1,,,True,False
headwear_headwear010,6,forCap,-1,,,True,False
headwear_headwear011,6,forCap,-1,,,True,False
headwear_headwear012,8,forHeadgear,-1,,,True,False
headwear_headwear013,5,default,-1,,,True,False
headwear_headwear014,10,default,0,79,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.019999999552965164]",False,True
headwear_headwear014,10,default,1,127,"[-14.0, 0.0, 0.0, 0.0, -0.029999999329447746, 0.019999999552965164]",False,True
headwear_headwear014,10,default,2,26,"[-18.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05999999865889549]",False,True
headwear_headwear014,10,default,3,112,"[-10.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05999999865889549]",False,True
headwear_headwear014,10,default,4,29,"[-10.0, 0.0, 0.0, 0.0, -0.029999999329447746, -0.05999999865889549]",False,True
headwear_headwear015,8,forHeadgear,-1,,,True,False
headwear_headwear016,6,forCap,-1,,,True,False
headwear_headwear018,8,forHeadgear,-1,,,True,False
headwear_headwear019,3,default,-1,,,True,False
headwear_headwear020,7,forHeadgear,-1,,,True,False
headwear_headwear021,6,forCap,-1,,,True,False
headwear_headwear022,1,default,-1,,,True,False
headwear_headwear023,1,default,-1,,,True,False
headwear_headwear024,7,forHeadgear,-1,,,True,False
headwear_headwear025,7,forHeadgear,-1,,,True,False
headwear_headwear026,6,forCap,-1,,,True,False
headwear_headwear027,8,forHeadgear,-1,,,True,False
headwear_headwear028,6,forCap,-1,,,True,False
headwear_headwear029,5,default,0,49,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.07000000029802322]",False,True
headwear_headwear029,5,default,1,38,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.07000000029802322]",False,True
headwear_headwear029,5,default,2,67,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear029,5,default,3,43,"[-7.0, 0.0, 0.0, 0.0, 0.0, -0.019999999552965164]",False,True
headwear_headwear029,5,default,4,121,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear030,6,forCap,-1,,,True,False
headwear_headwear031,6,forCap,-1,,,True,False
headwear_headwear032,6,forCap,-1,,,True,False
headwear_headwear033,8,forHeadgear,-1,,,True,False
headwear_headwear034,6,forCap,-1,,,True,False
headwear_headwear035,6,forCap,-1,,,True,False
headwear_headwear036,1,default,-1,,,True,False
headwear_headwear037,1,default,-1,,,True,False
headwear_headwear038,7,forHeadgear,-1,,,True,False
headwear_headwear039,2,default,-1,,,True,False
headwear_headwear040,6,forCap,-1,,,True,False
headwear_headwear041,6,forCap,-1,,,True,False
headwear_headwear042,3,default,-1,,,True,False
headwear_headwear043,6,forCap,-1,,,True,False
headwear_headwear044,6,forCap,-1,,,True,False
headwear_headwear045,8,forHeadgear,-1,,,True,False
headwear_headwear046,8,forHeadgear,-1,,,True,False
headwear_headwear047,8,forHeadgear,-1,,,True,False
headwear_headwear048,7,forHeadgear,-1,,,True,False
headwear_headwear049,6,forCap,-1,,,True,False
headwear_headwear051,6,forCap,-1,,,True,False
headwear_headwear052,5,default,0,49,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.07000000029802322]",False,True
headwear_headwear052,5,default,1,38,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.07000000029802322]",False,True
headwear_headwear052,5,default,2,67,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear052,5,default,3,43,"[-7.0, 0.0, 0.0, 0.0, 0.0, -0.019999999552965164]",False,True
headwear_headwear052,5,default,4,121,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear053,8,forHeadgear,-1,,,True,False
headwear_headwear054,8,forHeadgear,-1,,,True,False
headwear_headwear055,8,forHeadgear,-1,,,True,False
headwear_headwear057,7,forHeadgear,-1,,,True,False
headwear_headwear058,3,default,0,76,"[0.0, 0.0, 10.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear058,3,default,1,121,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear058,3,default,2,49,"[0.0, 0.0, 30.0, -0.05000000074505806, -0.05000000074505806, 0.0]",False,True
headwear_headwear058,3,default,3,64,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear059,3,default,0,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear059,3,default,1,75,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear059,3,default,2,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear059,3,default,3,125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear059,3,default,4,73,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear060,3,default,0,114,"[0.0, 0.0, -20.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear060,3,default,1,75,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear060,3,default,2,46,"[0.0, 0.0, -20.0, 0.0, 0.0, 0.05000000074505806]",False,True
headwear_headwear060,3,default,3,125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear060,3,default,4,49,"[0.0, 0.0, 20.0, -0.019999999552965164, 0.0, 0.0]",False,True
headwear_headwear061,3,default,0,76,"[0.0, 0.0, 0.0, -0.05000000074505806, 0.0, 0.0]",False,True
headwear_headwear061,3,default,1,79,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
headwear_headwear061,3,default,2,127,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.10000000149011612]",False,True
